latitude,longitude,value
52.41847005825243,12.761292855421688,0.0
52.41847005825243,12.761435469879519,0.0
52.41847005825243,12.76157808433735,0.0
52.41847005825243,12.761720698795182,0.0
52.41847005825243,12.761863313253013,0.0
52.41847005825243,12.762005927710844,0.0
52.41847005825243,12.762148542168676,0.0
52.41847005825243,12.762291156626507,0.0
52.41847005825243,12.762433771084337,0.0
52.41847005825243,12.76257638554217,0.0
52.41847005825243,12.762719,0.0
52.418562796116504,12.750882,0.0
52.418562796116504,12.751024614457831,0.0
52.418562796116504,12.751167228915664,0.0
52.418562796116504,12.751309843373495,0.0
52.418562796116504,12.751452457831325,0.0
52.418562796116504,12.751595072289158,0.0
52.418562796116504,12.751737686746988,0.0
52.418562796116504,12.75188030120482,0.0
52.418562796116504,12.752022915662652,0.0
52.418562796116504,12.752165530120482,0.0
52.418562796116504,12.752308144578313,0.0
52.418562796116504,12.752450759036146,0.0
52.418562796116504,12.752593373493976,0.0
52.418562796116504,12.752735987951809,0.0
52.418562796116504,12.75287860240964,0.0
52.418562796116504,12.75302121686747,0.0
52.418562796116504,12.753163831325303,0.0
52.418562796116504,12.753306445783133,0.0
52.418562796116504,12.753449060240964,0.0
52.418562796116504,12.753591674698797,0.0
52.418562796116504,12.753734289156627,0.0
52.418562796116504,12.753876903614458,0.0
52.418562796116504,12.75401951807229,0.0
52.418562796116504,12.754162132530121,0.0
52.418562796116504,12.754304746987952,0.0
52.418562796116504,12.754447361445784,0.0
52.418562796116504,12.754589975903615,0.0
52.418562796116504,12.754732590361446,0.0
52.418562796116504,12.754875204819278,0.0
52.418562796116504,12.755017819277109,0.0
52.418562796116504,12.75516043373494,0.0
52.418562796116504,12.755303048192772,0.0
52.418562796116504,12.755445662650603,0.0
52.418562796116504,12.755588277108435,0.0
52.418562796116504,12.755730891566266,0.0
52.418562796116504,12.755873506024097,0.0
52.418562796116504,12.75601612048193,0.0
52.418562796116504,12.75615873493976,0.0
52.418562796116504,12.75630134939759,0.0
52.418562796116504,12.756443963855423,0.0
52.418562796116504,12.756586578313254,0.0
52.418562796116504,12.756729192771084,0.0
52.418562796116504,12.756871807228917,0.0
52.418562796116504,12.757014421686748,0.0
52.418562796116504,12.757157036144578,0.0
52.418562796116504,12.75729965060241,0.0
52.418562796116504,12.757442265060241,0.0
52.418562796116504,12.757584879518072,0.0
52.418562796116504,12.757727493975905,0.0
52.418562796116504,12.757870108433735,0.0
52.418562796116504,12.758012722891566,0.0
52.418562796116504,12.758155337349399,0.0
52.418562796116504,12.75829795180723,0.0
52.418562796116504,12.758440566265062,0.0
52.418562796116504,12.758583180722892,0.0
52.418562796116504,12.758725795180723,0.0
52.418562796116504,12.758868409638556,0.0
52.418562796116504,12.759011024096386,0.0
52.418562796116504,12.759153638554217,0.0
52.418562796116504,12.75929625301205,0.0
52.418562796116504,12.75943886746988,0.0
52.418562796116504,12.759581481927711,0.0
52.418562796116504,12.759724096385543,0.0
52.418562796116504,12.759866710843374,0.0
52.418562796116504,12.760009325301205,0.0
52.418562796116504,12.760151939759037,0.0
52.418562796116504,12.760294554216868,0.0
52.418562796116504,12.760437168674699,0.0
52.418562796116504,12.760579783132531,0.0
52.418562796116504,12.760722397590362,0.0
52.418562796116504,12.760865012048193,0.0
52.418562796116504,12.761007626506025,0.0
52.418562796116504,12.761150240963856,0.0
52.418562796116504,12.761292855421688,0.0
52.418562796116504,12.761435469879519,0.0
52.418562796116504,12.76157808433735,0.0
52.418562796116504,12.761720698795182,0.0
52.418562796116504,12.761863313253013,0.0
52.418562796116504,12.762005927710844,0.0
52.418562796116504,12.762148542168676,0.0
52.418562796116504,12.762291156626507,0.0
52.418562796116504,12.762433771084337,0.0
52.418562796116504,12.76257638554217,0.0
52.418562796116504,12.762719,0.0
52.41865553398058,12.750882,0.0
52.41865553398058,12.751024614457831,0.0
52.41865553398058,12.751167228915664,0.0
52.41865553398058,12.751309843373495,0.0
52.41865553398058,12.751452457831325,0.0
52.41865553398058,12.751595072289158,0.0
52.41865553398058,12.751737686746988,0.0
52.41865553398058,12.75188030120482,0.0
52.41865553398058,12.752022915662652,0.0
52.41865553398058,12.752165530120482,0.0
52.41865553398058,12.752308144578313,0.0
52.41865553398058,12.752450759036146,0.0
52.41865553398058,12.752593373493976,0.0
52.41865553398058,12.752735987951809,0.0
52.41865553398058,12.75287860240964,0.0
52.41865553398058,12.75302121686747,0.0
52.41865553398058,12.753163831325303,0.0
52.41865553398058,12.753306445783133,0.0
52.41865553398058,12.753449060240964,0.0
52.41865553398058,12.753591674698797,0.0
52.41865553398058,12.753734289156627,0.0
52.41865553398058,12.753876903614458,0.0
52.41865553398058,12.75401951807229,0.0
52.41865553398058,12.754162132530121,0.0
52.41865553398058,12.754304746987952,0.0
52.41865553398058,12.754447361445784,0.0
52.41865553398058,12.754589975903615,0.0
52.41865553398058,12.754732590361446,0.0
52.41865553398058,12.754875204819278,0.0
52.41865553398058,12.755017819277109,0.0
52.41865553398058,12.75516043373494,0.0
52.41865553398058,12.755303048192772,0.0
52.41865553398058,12.755445662650603,0.0
52.41865553398058,12.755588277108435,0.0
52.41865553398058,12.755730891566266,0.0
52.41865553398058,12.755873506024097,0.0
52.41865553398058,12.75601612048193,0.0
52.41865553398058,12.75615873493976,0.0
52.41865553398058,12.75630134939759,0.0
52.41865553398058,12.756443963855423,0.0
52.41865553398058,12.756586578313254,0.0
52.41865553398058,12.756729192771084,0.0
52.41865553398058,12.756871807228917,0.0
52.41865553398058,12.757014421686748,0.0
52.41865553398058,12.757157036144578,0.0
52.41865553398058,12.75729965060241,0.0
52.41865553398058,12.757442265060241,0.0
52.41865553398058,12.757584879518072,0.0
52.41865553398058,12.757727493975905,0.0
52.41865553398058,12.757870108433735,0.0
52.41865553398058,12.758012722891566,0.0
52.41865553398058,12.758155337349399,0.0
52.41865553398058,12.75829795180723,0.0
52.41865553398058,12.758440566265062,0.0
52.41865553398058,12.758583180722892,0.0
52.41865553398058,12.758725795180723,0.0
52.41865553398058,12.758868409638556,0.0
52.41865553398058,12.759011024096386,0.0
52.41865553398058,12.759153638554217,0.0
52.41865553398058,12.75929625301205,0.0
52.41865553398058,12.75943886746988,0.0
52.41865553398058,12.759581481927711,0.0
52.41865553398058,12.759724096385543,0.0
52.41865553398058,12.759866710843374,0.0
52.41865553398058,12.760009325301205,0.0
52.41865553398058,12.760151939759037,0.0
52.41865553398058,12.760294554216868,0.0
52.41865553398058,12.760437168674699,0.0
52.41865553398058,12.760579783132531,0.0
52.41865553398058,12.760722397590362,0.0
52.41865553398058,12.760865012048193,0.0
52.41865553398058,12.761007626506025,0.0
52.41865553398058,12.761150240963856,0.0
52.41865553398058,12.761292855421688,0.0
52.41865553398058,12.761435469879519,0.0
52.41865553398058,12.76157808433735,0.0
52.41865553398058,12.761720698795182,0.0
52.41865553398058,12.761863313253013,0.0
52.41865553398058,12.762005927710844,0.0
52.41865553398058,12.762148542168676,0.0
52.41865553398058,12.762291156626507,0.0
52.41865553398058,12.762433771084337,0.0
52.41865553398058,12.76257638554217,0.0
52.41865553398058,12.762719,0.0
52.41874827184466,12.750882,0.0
52.41874827184466,12.751024614457831,0.0
52.41874827184466,12.751167228915664,0.0
52.41874827184466,12.751309843373495,0.0
52.41874827184466,12.751452457831325,0.0
52.41874827184466,12.751595072289158,0.0
52.41874827184466,12.751737686746988,0.0
52.41874827184466,12.75188030120482,0.0
52.41874827184466,12.752022915662652,0.0
52.41874827184466,12.752165530120482,0.0
52.41874827184466,12.752308144578313,0.0
52.41874827184466,12.752450759036146,0.0
52.41874827184466,12.752593373493976,0.0
52.41874827184466,12.752735987951809,0.0
52.41874827184466,12.75287860240964,0.0
52.41874827184466,12.75302121686747,0.0
52.41874827184466,12.753163831325303,0.0
52.41874827184466,12.753306445783133,0.0
52.41874827184466,12.753449060240964,0.0
52.41874827184466,12.753591674698797,0.0
52.41874827184466,12.753734289156627,0.0
52.41874827184466,12.753876903614458,0.0
52.41874827184466,12.75401951807229,0.0
52.41874827184466,12.754162132530121,0.0
52.41874827184466,12.754304746987952,0.0
52.41874827184466,12.754447361445784,0.0
52.41874827184466,12.754589975903615,0.0
52.41874827184466,12.754732590361446,0.0
52.41874827184466,12.754875204819278,0.0
52.41874827184466,12.755017819277109,0.0
52.41874827184466,12.75516043373494,0.0
52.41874827184466,12.755303048192772,0.0
52.41874827184466,12.755445662650603,0.0
52.41874827184466,12.755588277108435,0.0
52.41874827184466,12.755730891566266,0.0
52.41874827184466,12.755873506024097,0.0
52.41874827184466,12.75601612048193,0.0
52.41874827184466,12.75615873493976,0.0
52.41874827184466,12.75630134939759,0.0
52.41874827184466,12.756443963855423,0.0
52.41874827184466,12.756586578313254,0.0
52.41874827184466,12.756729192771084,0.0
52.41874827184466,12.756871807228917,0.0
52.41874827184466,12.757014421686748,0.0
52.41874827184466,12.757157036144578,0.0
52.41874827184466,12.75729965060241,0.0
52.41874827184466,12.757442265060241,0.0
52.41874827184466,12.757584879518072,0.0
52.41874827184466,12.757727493975905,0.0
52.41874827184466,12.757870108433735,0.0
52.41874827184466,12.758012722891566,0.0
52.41874827184466,12.758155337349399,0.0
52.41874827184466,12.75829795180723,0.0
52.41874827184466,12.758440566265062,0.0
52.41874827184466,12.758583180722892,0.0
52.41874827184466,12.758725795180723,0.0
52.41874827184466,12.758868409638556,0.0
52.41874827184466,12.759011024096386,0.0
52.41874827184466,12.759153638554217,0.0
52.41874827184466,12.75929625301205,0.0
52.41874827184466,12.75943886746988,0.0
52.41874827184466,12.759581481927711,0.0
52.41874827184466,12.759724096385543,0.0
52.41874827184466,12.759866710843374,0.0
52.41874827184466,12.760009325301205,0.0
52.41874827184466,12.760151939759037,0.0
52.41874827184466,12.760294554216868,0.0
52.41874827184466,12.760437168674699,0.0
52.41874827184466,12.760579783132531,0.0
52.41874827184466,12.760722397590362,0.0
52.41874827184466,12.760865012048193,0.0
52.41874827184466,12.761007626506025,0.0
52.41874827184466,12.761150240963856,0.0
52.41874827184466,12.761292855421688,0.0
52.41874827184466,12.761435469879519,0.0
52.41874827184466,12.76157808433735,0.0
52.41874827184466,12.761720698795182,0.0
52.41874827184466,12.761863313253013,0.0
52.41874827184466,12.762005927710844,0.0
52.41874827184466,12.762148542168676,0.0
52.41874827184466,12.762291156626507,0.0
52.41874827184466,12.762433771084337,0.0
52.41874827184466,12.76257638554217,0.0
52.41874827184466,12.762719,0.0
52.418841009708736,12.750882,0.0
52.418841009708736,12.751024614457831,0.0
52.418841009708736,12.751167228915664,0.0
52.418841009708736,12.751309843373495,0.0
52.418841009708736,12.751452457831325,0.0
52.418841009708736,12.751595072289158,0.0
52.418841009708736,12.751737686746988,0.0
52.418841009708736,12.75188030120482,0.0
52.418841009708736,12.752022915662652,0.0
52.418841009708736,12.752165530120482,0.0
52.418841009708736,12.752308144578313,0.0
52.418841009708736,12.752450759036146,0.0
52.418841009708736,12.752593373493976,0.0
52.418841009708736,12.752735987951809,0.0
52.418841009708736,12.75287860240964,0.0
52.418841009708736,12.75302121686747,0.0
52.418841009708736,12.753163831325303,0.0
52.418841009708736,12.753306445783133,0.0
52.418841009708736,12.753449060240964,0.0
52.418841009708736,12.753591674698797,0.0
52.418841009708736,12.753734289156627,0.0
52.418841009708736,12.753876903614458,0.0
52.418841009708736,12.75401951807229,0.0
52.418841009708736,12.754162132530121,0.0
52.418841009708736,12.754304746987952,0.0
52.418841009708736,12.754447361445784,0.0
52.418841009708736,12.754589975903615,0.0
52.418841009708736,12.754732590361446,0.0
52.418841009708736,12.754875204819278,0.0
52.418841009708736,12.755017819277109,0.0
52.418841009708736,12.75516043373494,0.0
52.418841009708736,12.755303048192772,0.0
52.418841009708736,12.755445662650603,0.0
52.418841009708736,12.755588277108435,0.0
52.418841009708736,12.755730891566266,0.0
52.418841009708736,12.755873506024097,0.0
52.418841009708736,12.75601612048193,0.0
52.418841009708736,12.75615873493976,0.0
52.418841009708736,12.75630134939759,0.0
52.418841009708736,12.756443963855423,0.0
52.418841009708736,12.756586578313254,0.0
52.418841009708736,12.756729192771084,0.0
52.418841009708736,12.756871807228917,0.0
52.418841009708736,12.757014421686748,0.0
52.418841009708736,12.757157036144578,0.0
52.418841009708736,12.75729965060241,0.0
52.418841009708736,12.757442265060241,0.0
52.418841009708736,12.757584879518072,0.0
52.418841009708736,12.757727493975905,0.0
52.418841009708736,12.757870108433735,0.0
52.418841009708736,12.758012722891566,0.0
52.418841009708736,12.758155337349399,0.0
52.418841009708736,12.75829795180723,0.0
52.418841009708736,12.758440566265062,0.0
52.418841009708736,12.758583180722892,0.0
52.418841009708736,12.758725795180723,0.0
52.418841009708736,12.758868409638556,0.0
52.418841009708736,12.759011024096386,0.0
52.418841009708736,12.759153638554217,0.0
52.418841009708736,12.75929625301205,0.0
52.418841009708736,12.75943886746988,0.0
52.418841009708736,12.759581481927711,0.0
52.418841009708736,12.759724096385543,0.0
52.418841009708736,12.759866710843374,0.0
52.418841009708736,12.760009325301205,0.0
52.418841009708736,12.760151939759037,0.0
52.418841009708736,12.760294554216868,0.0
52.418841009708736,12.760437168674699,0.0
52.418841009708736,12.760579783132531,0.0
52.418841009708736,12.760722397590362,0.0
52.418841009708736,12.760865012048193,0.0
52.418841009708736,12.761007626506025,0.0
52.418841009708736,12.761150240963856,0.0
52.418841009708736,12.761292855421688,0.0
52.418841009708736,12.761435469879519,0.0
52.418841009708736,12.76157808433735,0.0
52.418841009708736,12.761720698795182,0.0
52.418841009708736,12.761863313253013,0.0
52.418841009708736,12.762005927710844,0.0
52.418841009708736,12.762148542168676,0.0
52.418841009708736,12.762291156626507,0.0
52.418841009708736,12.762433771084337,0.0
52.418841009708736,12.76257638554217,0.0
52.418841009708736,12.762719,0.0
52.418933747572815,12.750882,0.0
52.418933747572815,12.751024614457831,0.0
52.418933747572815,12.751167228915664,0.0
52.418933747572815,12.751309843373495,0.0
52.418933747572815,12.751452457831325,0.0
52.418933747572815,12.751595072289158,0.0
52.418933747572815,12.751737686746988,0.0
52.418933747572815,12.75188030120482,0.0
52.418933747572815,12.752022915662652,0.0
52.418933747572815,12.752165530120482,0.0
52.418933747572815,12.752308144578313,0.0
52.418933747572815,12.752450759036146,0.0
52.418933747572815,12.752593373493976,0.0
52.418933747572815,12.752735987951809,0.0
52.418933747572815,12.75287860240964,0.0
52.418933747572815,12.75302121686747,0.0
52.418933747572815,12.753163831325303,0.0
52.418933747572815,12.753306445783133,0.0
52.418933747572815,12.753449060240964,0.0
52.418933747572815,12.753591674698797,0.0
52.418933747572815,12.753734289156627,0.0
52.418933747572815,12.753876903614458,0.0
52.418933747572815,12.75401951807229,0.0
52.418933747572815,12.754162132530121,0.0
52.418933747572815,12.754304746987952,0.0
52.418933747572815,12.754447361445784,0.0
52.418933747572815,12.754589975903615,0.0
52.418933747572815,12.754732590361446,0.0
52.418933747572815,12.754875204819278,0.0
52.418933747572815,12.755017819277109,0.0
52.418933747572815,12.75516043373494,0.0
52.418933747572815,12.755303048192772,0.0
52.418933747572815,12.755445662650603,0.0
52.418933747572815,12.755588277108435,0.0
52.418933747572815,12.755730891566266,0.0
52.418933747572815,12.755873506024097,0.0
52.418933747572815,12.75601612048193,0.0
52.418933747572815,12.75615873493976,0.0
52.418933747572815,12.75630134939759,0.0
52.418933747572815,12.756443963855423,0.0
52.418933747572815,12.756586578313254,0.0
52.418933747572815,12.756729192771084,0.0
52.418933747572815,12.756871807228917,0.0
52.418933747572815,12.757014421686748,0.0
52.418933747572815,12.757157036144578,0.0
52.418933747572815,12.75729965060241,0.0
52.418933747572815,12.757442265060241,0.0
52.418933747572815,12.757584879518072,0.0
52.418933747572815,12.757727493975905,0.0
52.418933747572815,12.757870108433735,0.0
52.418933747572815,12.758012722891566,0.0
52.418933747572815,12.758155337349399,0.0
52.418933747572815,12.75829795180723,0.0
52.418933747572815,12.758440566265062,0.0
52.418933747572815,12.758583180722892,0.0
